,total_content
0,"The WSJ tested out @SpaceX's Starlink Wifi on an Airplane and was blown away: ""It was like working from home, but home is an airplane seat. Google Docs, slack web browsing, Spotify, it all kept up the whole time and there were no dropped connections.""  Starlink had 4x lower latency than the next best Wifi system they tested.  Full video: https://www.youtube.com/watch?v=Xb3OwFDEjiMhttps://twitter.com/SawyerMerritt/status/1831886142993822012#mNo text available"
1,"ğŸ‡ºğŸ‡¸ REAGAN: MY PRESIDENCY WASN'T A REVOLUTION... IT WAS A REDISCOVERY OF COMMON SENSE  â€œThey called it the Reagan Revolution. I'll accept that.  For me, it always seemed more like the Great Rediscoveryâ€”a rediscovery of our values and our common sense.  Common sense told us that when you put a big tax on something, people will produce less of it.  So, we cut the people's tax rates, and they produced more than ever before.  The economy bloomed like a plant that had been cut back and could now grow quicker and stronger.  Real family income went up, the poverty rate went down, entrepreneurship boomed, and there was an explosion in research and new technology.â€  Source: The Reagan Library , 1989https://twitter.com/MarioNawfal/status/1831822919091286233#mNo text available"
2,"InterestingNo retweetTelegram quietly updates FAQ, removing:  ""All Telegram chats and group chats are private amongst their participants. We do not process any requests related to them."""
3,"The incentive is obvious, as it would turn all swing states into deep blue Democrat states, making America a one-party country foreverNo retweetğŸš¨ğŸ‡ºğŸ‡¸CHUCK SCHUMER: OUR GOAL IS CITIZENSHIP FOR ALL 11M UNDOCUMENTED IMMIGRANTS  ""The only way we're going to have a great future in America is if we welcome and embrace immigrants, the dreamers, and all of them.   Our ultimate goal is to help the dreamers but also create a path to citizenship for all 11 million or however many undocumented immigrants are here.""  Source: @Breaking911"
4,"Kamala wants to destroy your right to free speech under The ConstitutionNo retweetElon Musk, RFK Jr., and Tulsi Gabbard are raising concerns of free speech under Kamala Harris.  In 2019, Harris vowed to use the DOJ and law enforcement to 'hold social media platforms responsible' for 'misinformation' as part of the 'fight against this threat to our Democracy'"
5,YesNo retweetMessage Starlink sent to its Brazilian customers:  â€œStarlink is committed to defending your rights protected by your Constitution and will continue providing service to you for free if necessary.â€  F*CKING LEGEND!
6,"Starlink now constitutes roughly 2/3 of all active Earth satellitesNo retweetNEWS: @SpaceX launched its 7,000th Starlink satellite today."
7,"Birth rates continue to plummet.   Population collapse is a certainty.No retweetğŸ‡ªğŸ‡º EU FACES FERTILITY CRISIS:  BIRTHS HIT RECORD LOW  For the first time since 1960, the EUâ€™s live births dropped below 4 million, with just 3.88 million babies born in 2022.  The EUâ€™s average fertility rate is now 1.46, well below the global average of 2.27.  Malta (1.08), Spain (1.16), Italy (1.24), Greece (1.32), and Cyprus (1.37) have the lowest fertility rates in Europe.  Live births have plunged from 5.1 million in 1990 to this record low.  Source: Euronews"
8,"Falcon 9 Launches 21 Starlink Satellites, 13 with Direct-to-Cell Capabilities  SpaceXâ€™s Falcon 9 successfully delivered 21 Starlink satellites to low-Earth orbit from Florida, with 13 of them equipped with Direct-to-Cell capabilities, bringing advanced connectivity to remote and underserved areas worldwide. Another milestone for global communication!  Source: @SpaceXhttps://twitter.com/MarioNawfal/status/1831767231945953585#mNo text available"
9,"Milei is bringing prosperity to ArgentinaNo retweetğŸš¨ğŸ‡¦ğŸ‡·MILEI SURPASSES EXPECTATIONS WITH STRONG ECONOMIC PERFORMANCE AND NATO PARTNERSHIP PURSUIT  @JMilei continues to defy critics with an economy that has outperformed predictions, pursuing bold national security reforms, including aiming for a NATO global partnership.  Milei's aggressive cuts in public spending, deregulation, and currency stabilization have led to fiscal surpluses and reduced inflation.  Despite previous concerns about his libertarian policies, Mileiâ€™s leadership has strengthened Argentina's economic and international standing, while rejecting alliances with blocs like BRICS.  His approach has garnered praise for boosting entrepreneurship and revitalizing the nation's market.  Source: Fox News"
10,"Thank youNo retweetBrazilâ€™s decisions to ban X and freeze Starlink assets are part of a growing crackdown on free speech.  But they also violates Brazilâ€™s own laws.  Today, I wrote my regulatory counterparts in Brazil to address these unlawful actions.  ***** Dear ANATEL President Baigorri, Â  The FCC and ANATEL, the lead communications regulatory agencies in the U.S. and Brazil, have had a long-standing relationshipâ€”one built on reciprocity, respect for the rule of law, and our shared status as independent agencies established by law to operate without undue influence from the partisan political branches of our governments. Â   The sectors we regulate stand to benefit from continuing a partnership based on adherence to those foundational principles. Â Indeed, you recently signed a Memorandum of Understanding with the FCCâ€™s Chairwoman that further formalized the FCC and ANATEL relationship. Â  Nonetheless, I am compelled to address with you today the cascading set of apparently unlawful and partisan political actions that your agency has been carrying out against businesses with U.S. ties, including your own threat to pull Starlinkâ€™s licenses and authorizations to operate in Brazil. Â   These punitive actionsâ€”backed publicly by the Lula Administrationâ€”are already reverberating broadly and shaking confidence in the stability and predictability of Brazilâ€™s regulated markets. Â In fact, U.S. business leaders are now openly questioning whether Brazil is on the path to becoming an uninvestable market. Â  ANATEL is now actively enforcing a widely criticized decision by Justice de Moraes to censor X that, according to government officials in Brazil, violates Brazilâ€™s own Constitution and your countryâ€™s statutory prohibitions against government censorship. Â   To make matters worse, Justice de Moraes chose to enforce his decision by freezing the assets of Starlinkâ€”even though Starlink is a separate company with different shareholders that has broken no laws.  Justice de Moraes has failed to respect universal and basic tenets of transparency, fair notice, and due process. Â   Indeed, it has now been revealed that Justice de Moraes has been sending social media companies secret orders to censor the political posts of elected members of Brazilâ€™s Congress. Â   â€œIf this sounds authoritarian, it is,â€ the Washington Post wrote this week about Justice de Moraesâ€™s takedown campaign. Â Continuing, the Washington Post stated that Brazilâ€™s recent moves come â€œat a substantial cost to free expressionâ€”with mandates for removals and even arrest warrants often issued under seal and with scant reasoning to support them.â€   â€œBrazilians shouldnâ€™t have to put up with government suppressing political viewpoints,â€ it concluded. Â  While Justice de Moraesâ€™s actions mirror crackdowns on free speech that are taking place across the globe, I am not writing you today based on a generalized concern about free expressionâ€”though I believe strongly that communications regulators like us should stand against this trend towards censorship. Â Nor am I arguing that these actions by Brazilâ€™s government somehow violate U.S. laws on free speech â€¦ Â  But according to Brazilian officials and legal authorities, Brazil is now violating its own laws through arbitrary and capricious actions against X and Starlink. Â Indeed, the Justice de Moraes decision runs headlong into Brazilâ€™s own Constitution, which expressly prohibits â€œ[a]ny and all censorship of a political, ideological and artistic nature,â€ as well as other provisions of Brazilian law that further guarantee freedom of expression. Â  The serious and apparently unlawful actions against X and Starlink cannot be squared with the principles of reciprocity, rule of law, and independence that have served as the foundation of the FCC and ANATEL relationship and the basis for reciprocal foreign investment. Â  I am therefore requesting a meeting with you to address and resolve these issues. Â If you prefer, I will come to you in Brazil to do so."
11,"Wow ğŸ¤¯No retweetSex offending rate of women: 3 per one million  Sex offending rate of men: 395 per million  Sex offending rates of transwomen: 1,916 per million"
12,This is badly neededNo retweetTRUMP: â€œAt the suggestion of Elon Musk â€” I will create a Government efficiency Commission tasked with conducting a complete financial and performance audit of the entire federal government and making recommendations for drastic reforms. Elon.. has agreed to head that task forceâ€
13,"ğŸ¥°No retweetThis was one of my favorite days at work, bringing @Starlinkâ€™s high-speed internet to a school in the Amazon and meeting (and getting hugs from) these extraordinary students.   This picture shows just a few of the hundreds of thousands of amazing Brazilian people whom we are fighting to keep connected.Â   @Alexandre, please stop harassing Starlink and let us keep serving the people of Brazil."
14,Itâ€™s a what? Ohh â€¦No retweetNo text available
